mayan-mythology	1
chinese	71
ancient-germanic	262
german	589
near-eastern-mythology	37
belarusian	5
tatar	6
galician	18
macedonian	77
baltic-mythology	1
mormon	1
basque	163
late-greek	22
esperanto	52
thai	27
native-american	62
italian	734
russian	415
icelandic	63
iranian	166
judeo-christian-legend	14
turkish	326
finnish-mythology	12
ossetian	3
georgian-mythology	2
corsican	2
polish	355
spanish	550
romanian	131
slavic-mythology	13
hinduism	4
indigenous-australian	1
cornish	16
bulgarian	157
maori	28
khmer	17
biblical	405
new-world-mythology	1
jewish	5
bosnian	21
georgian	124
dutch	356
various	64
japanese	266
catalan	74
tamil	1
bengali	7
tibetan	2
mongolian	19
ancient-irish	28
greek-mythology	295
ancient-persian	15
kyrgyz	7
biblical-greek	97
egyptian-mythology	36
pakistani	26
persian-mythology	33
irish-mythology	36
finnish	388
african-american	66
dagestani	2
norse-mythology	50
french	604
uzbek	9
roman-mythology	67
tagalog	1
serbian	118
pacific-polynesian	1
slovak	45
mythology	4
punjabi	18
armenian-mythology	1
croatian	277
unknown	26
portuguese	254
irish	567
caucasian-mythology	1
danish	126
czech	225
hebrew	370
indonesian	53
yiddish	111
tajik	2
biblical-hebrew	132
ancient-celtic	27
aztec-mythology	3
arabic	729
scandinavian	1
hungarian	310
breton	28
ottoman-turkish	2
far-eastern-mythology	6
sami	6
estonian	36
welsh-mythology	25
pet	1
occitan	8
pashto	1
anglo-saxon-mythology	6
indian	520
limburgish	35
chechen	16
azerbaijani	24
korean	31
old-church-slavic	30
anglo-saxon	86
late-roman	163
swedish	325
literature	75
medieval	120
scottish	268
ukrainian	59
welsh	321
ancient-egyptian	18
english	3405
ancient-scandinavian	174
incan-mythology	1
norwegian	126
armenian	79
astronomy	12
kazakh	29
ancient-roman	222
lithuanian	132
turkmen	5
kurdish	10
germanic-mythology	10
slovene	164
uyghur	10
biblical-latin	84
bashkir	1
manx	10
albanian	40
vietnamese	47
ancient-near-eastern	12
popular-culture	9
ancient-greek	332
theology	10
greek	151
american	1
pacific-polynesian-mythology	5
hawaiian	48
celtic-mythology	14
latvian	66
african	327
history	90
arthurian-romance	18
frisian	59
